source,layer,geometry,feature_count,local_path,committed,notes
City of El Paso Open Data,EPCenterline,Polyline,58650,data/raw/city_open_data/EPCenterline.geojson,no,Street centerline layer downloaded locally for corridor and road-context analysis.
City of El Paso Open Data,BusStops,Point,3063,data/raw/city_open_data/BusStops.geojson,no,Transit stop layer downloaded locally for vulnerable-user and transit-access context.
City of El Paso Open Data,BusRoutes,Polyline,479,data/raw/city_open_data/BusRoutes.geojson,no,Transit route layer downloaded locally for corridor context.
City of El Paso Open Data,BikeLanes,Polyline,1037,data/raw/city_open_data/BikeLanes.geojson,no,Bicycle facility layer downloaded locally for bike-safety gap analysis.
City of El Paso Open Data,Schools,Point,262,data/raw/city_open_data/Schools.geojson,no,School point layer downloaded locally for school-zone proximity analysis.
City of El Paso Open Data,Parks,Polygon,396,data/raw/city_open_data/Parks.geojson,no,Park polygon layer downloaded locally for public-destination proximity analysis.
TxDOT CRIS,Raw crash extract,TBD,TBD,data/raw/txdot_cris/,no,Optional deeper-analysis input; raw CRIS exports remain ignored and should not be committed.
Public CRIS-derived aggregation,Aggregate crash summaries,Table,TBD,data/processed/cris_derived/,when generated,Safe summary outputs produced by scripts/build_cris_derived_summaries.py from the public Vision Zero collision layer; no raw records or coordinates.
El Paso Vision Zero / Fehr & Peers,El Paso Collisions,Point,19693,live ArcGIS REST service,no,Public collision layer used by the interactive web output at runtime.
El Paso Vision Zero / Fehr & Peers,HIN - Motor Vehicles,Polyline,1666,live ArcGIS REST service,no,Public High Injury Network layer used by the interactive web output at runtime.
El Paso Vision Zero / Fehr & Peers,HIN - Bike/Ped,Polyline,1456,live ArcGIS REST service,no,Public vulnerable-road-user High Injury Network layer used by the interactive web output at runtime.
El Paso Vision Zero / Fehr & Peers,Alta EJ Index,Polygon,435,live ArcGIS REST service,no,Optional equity context layer available in the interactive web output.
El Paso Vision Zero / Fehr & Peers,Predictive Modeling Network,Polyline,26522,live ArcGIS REST service,no,Optional predictive safety network layer available in the interactive web output.
